"","respID","qID","altID","obsID","value","penalty","accessibility","incentive_cash","incentive_grocery_store","incentive_internet","incentive_sport_tickets","outsideGood","incentive_label","penalty_label","accessibility_label","no_vaccine_label"
"8850",107,2,2,850,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"851",107,3,1,851,100,0,10,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8851",107,3,2,851,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"852",107,4,1,852,200,100,1,1,0,0,0,0,"$200 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8852",107,4,2,852,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"853",107,5,1,853,200,200,10,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8853",107,5,2,853,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"854",107,6,1,854,200,500,0,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",""
"8854",107,6,2,854,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"855",107,7,1,855,300,500,1,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8855",107,7,2,855,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"856",107,8,1,856,1000,1000,3,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8856",107,8,2,856,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"857",108,1,1,857,1000,0,0,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8857",108,1,2,857,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"858",108,2,1,858,100,1000,1,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8858",108,2,2,858,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"859",108,3,1,859,1000,0,1,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8859",108,3,2,859,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"860",108,4,1,860,300,0,0,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8860",108,4,2,860,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"861",108,5,1,861,50,0,0,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8861",108,5,2,861,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"862",108,6,1,862,500,0,3,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8862",108,6,2,862,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"863",108,7,1,863,1000,0,10,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8863",108,7,2,863,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"864",108,8,1,864,200,0,1,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8864",108,8,2,864,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"865",109,1,1,865,200,0,0,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8865",109,1,2,865,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"866",109,2,1,866,50,0,10,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8866",109,2,2,866,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"867",109,3,1,867,200,0,10,1,0,0,0,0,"$200 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8867",109,3,2,867,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"868",109,4,1,868,500,0,1,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8868",109,4,2,868,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"869",109,5,1,869,1000,100,1,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8869",109,5,2,869,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"870",109,6,1,870,300,0,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8870",109,6,2,870,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"871",109,7,1,871,1000,1000,3,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8871",109,7,2,871,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"872",109,8,1,872,50,0,0,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8872",109,8,2,872,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"873",110,1,1,873,500,0,3,1,0,0,0,0,"$500 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8873",110,1,2,873,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"874",110,2,1,874,200,0,0,1,0,0,0,0,"$200 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8874",110,2,2,874,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"875",110,3,1,875,50,300,1,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8875",110,3,2,875,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"876",110,4,1,876,1000,0,10,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8876",110,4,2,876,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"877",110,5,1,877,300,300,10,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8877",110,5,2,877,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"878",110,6,1,878,50,0,0,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8878",110,6,2,878,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"879",110,7,1,879,500,50,3,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8879",110,7,2,879,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"880",110,8,1,880,1000,0,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8880",110,8,2,880,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"881",111,1,1,881,100,50,1,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8881",111,1,2,881,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"882",111,2,1,882,100,0,3,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8882",111,2,2,882,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"883",111,3,1,883,50,200,3,1,0,0,0,0,"$50 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8883",111,3,2,883,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"884",111,4,1,884,300,500,1,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8884",111,4,2,884,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"885",111,5,1,885,300,0,1,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8885",111,5,2,885,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"886",111,6,1,886,100,0,0,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8886",111,6,2,886,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"887",111,7,1,887,1000,0,1,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8887",111,7,2,887,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"888",111,8,1,888,500,300,10,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8888",111,8,2,888,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"889",112,1,1,889,500,0,10,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8889",112,1,2,889,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"890",112,2,1,890,200,0,3,1,0,0,0,0,"$200 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8890",112,2,2,890,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"891",112,3,1,891,200,300,0,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8891",112,3,2,891,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"892",112,4,1,892,300,0,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8892",112,4,2,892,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"893",112,5,1,893,100,0,3,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8893",112,5,2,893,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"894",112,6,1,894,1000,0,0,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8894",112,6,2,894,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"895",112,7,1,895,100,50,3,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8895",112,7,2,895,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"896",112,8,1,896,1000,50,3,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8896",112,8,2,896,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"897",113,1,1,897,300,0,10,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8897",113,1,2,897,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"898",113,2,1,898,500,0,3,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8898",113,2,2,898,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"899",113,3,1,899,100,0,3,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8899",113,3,2,899,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"900",113,4,1,900,300,0,10,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8900",113,4,2,900,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"901",113,5,1,901,0,300,0,1,0,0,0,0,"No incentives for compliance","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8901",113,5,2,901,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"902",113,6,1,902,0,100,10,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8902",113,6,2,902,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"903",113,7,1,903,300,0,1,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8903",113,7,2,903,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"904",113,8,1,904,300,300,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8904",113,8,2,904,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"905",114,1,1,905,0,0,3,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8905",114,1,2,905,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"906",114,2,1,906,0,100,10,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8906",114,2,2,906,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"907",114,3,1,907,100,0,3,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8907",114,3,2,907,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"908",114,4,1,908,100,100,3,1,0,0,0,0,"$100 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8908",114,4,2,908,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"909",114,5,1,909,300,100,3,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8909",114,5,2,909,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"910",114,6,1,910,50,0,0,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8910",114,6,2,910,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"911",114,7,1,911,200,500,0,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",""
"8911",114,7,2,911,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"912",114,8,1,912,0,0,3,1,0,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8912",114,8,2,912,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"913",115,1,1,913,0,0,0,1,0,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8913",115,1,2,913,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"914",115,2,1,914,200,300,10,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8914",115,2,2,914,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"915",115,3,1,915,100,50,1,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8915",115,3,2,915,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"916",115,4,1,916,50,0,3,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8916",115,4,2,916,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"917",115,5,1,917,500,1000,10,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8917",115,5,2,917,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"918",115,6,1,918,300,200,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8918",115,6,2,918,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"919",115,7,1,919,300,1000,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8919",115,7,2,919,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"920",115,8,1,920,300,0,1,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8920",115,8,2,920,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"921",116,1,1,921,500,200,3,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8921",116,1,2,921,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"922",116,2,1,922,500,0,10,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8922",116,2,2,922,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"923",116,3,1,923,500,300,1,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8923",116,3,2,923,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"924",116,4,1,924,1000,0,1,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8924",116,4,2,924,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"925",116,5,1,925,500,200,10,1,0,0,0,0,"$500 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8925",116,5,2,925,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"926",116,6,1,926,100,1000,1,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8926",116,6,2,926,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"927",116,7,1,927,300,0,3,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8927",116,7,2,927,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"928",116,8,1,928,0,0,1,0,1,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8928",116,8,2,928,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"929",117,1,1,929,0,100,0,1,0,0,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8929",117,1,2,929,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"930",117,2,1,930,300,0,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8930",117,2,2,930,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"931",117,3,1,931,200,0,10,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8931",117,3,2,931,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"932",117,4,1,932,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8932",117,4,2,932,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"933",117,5,1,933,100,300,3,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8933",117,5,2,933,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"934",117,6,1,934,0,0,0,0,0,1,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8934",117,6,2,934,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"935",117,7,1,935,0,100,1,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8935",117,7,2,935,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"936",117,8,1,936,300,100,0,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8936",117,8,2,936,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"937",118,1,1,937,0,0,10,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8937",118,1,2,937,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"938",118,2,1,938,200,0,1,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8938",118,2,2,938,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"939",118,3,1,939,0,100,3,1,0,0,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8939",118,3,2,939,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"940",118,4,1,940,500,0,1,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8940",118,4,2,940,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"941",118,5,1,941,100,0,10,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8941",118,5,2,941,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"942",118,6,1,942,50,100,1,1,0,0,0,0,"$50 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8942",118,6,2,942,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"943",118,7,1,943,100,200,3,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8943",118,7,2,943,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"944",118,8,1,944,0,300,3,0,1,0,0,0,"No incentives for compliance","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8944",118,8,2,944,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"945",119,1,1,945,50,100,3,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8945",119,1,2,945,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"946",119,2,1,946,100,1000,0,1,0,0,0,0,"$100 in cash","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",""
"8946",119,2,2,946,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"947",119,3,1,947,50,0,10,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8947",119,3,2,947,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"948",119,4,1,948,0,0,10,0,1,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8948",119,4,2,948,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"949",119,5,1,949,1000,100,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8949",119,5,2,949,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"950",119,6,1,950,500,100,3,1,0,0,0,0,"$500 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8950",119,6,2,950,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"951",119,7,1,951,500,100,3,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8951",119,7,2,951,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"952",119,8,1,952,300,50,10,1,0,0,0,0,"$300 in cash","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8952",119,8,2,952,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"953",120,1,1,953,50,0,10,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8953",120,1,2,953,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"954",120,2,1,954,500,1000,10,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8954",120,2,2,954,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"955",120,3,1,955,50,200,3,1,0,0,0,0,"$50 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8955",120,3,2,955,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"956",120,4,1,956,100,0,1,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
